Date,Name 1,Deck 1,Started? 1,T1 Sol Ring? 1,Won? 1,Name 2,Deck 2,Started? 2,T1 Sol Ring? 2,Won? 2,Name 3,Deck 3,Started? 3,T1 Sol Ring? 3,Won? 3,Name 4,Deck 4,Started? 4,T1 Sol Ring? 4,Won? 4,Comments
2024-01-10,Chloé,Big Booty Oxy,FALSE,TRUE,FALSE,Gabriel,Raining Cats & Dogs,FALSE,TRUE,FALSE,Peru,Everytime We Touch,FALSE,FALSE,FALSE,Simon,Long Live the Queen,TRUE,FALSE,TRUE,
2024-01-11,Chloé,Naya Norin,FALSE,FALSE,TRUE,Gabriel,Raining Cats & Dogs,TRUE,FALSE,FALSE,Peru,You sucky sucky,FALSE,TRUE,FALSE,Simon,Release the Kraken,FALSE,FALSE,FALSE,
2024-02-15,Peru,Naya Norin,FALSE,FALSE,FALSE,Gabriel,Draw Your Weapons,FALSE,FALSE,TRUE,Simon,Release the Kraken,FALSE,FALSE,FALSE,Alex,Dragon Stompy,TRUE,FALSE,FALSE,
2024-02-16,Peru,Krenko,FALSE,FALSE,FALSE,Gabriel,Puss in Boots,FALSE,FALSE,FALSE,Simon,Sefris,TRUE,TRUE,TRUE,Alex,Dragon Stompy,FALSE,FALSE,FALSE,
2024-02-17,Peru,Krenko,FALSE,FALSE,TRUE,Gabriel,Puss in Boots,FALSE,FALSE,FALSE,Simon,Sefris,TRUE,FALSE,FALSE,Alex,Dragon Stompy,FALSE,FALSE,FALSE,
2024-04-16,Peru,Arjun,FALSE,FALSE,FALSE,Gabriel,Morphin' Time,FALSE,FALSE,FALSE,Simon,Slicer,TRUE,FALSE,FALSE,Chloé,Big Booty Oxy,FALSE,FALSE,TRUE,
2024-04-17,Chloé,Big Booty Oxy,TRUE,TRUE,FALSE,Simon,Pheldagriff,FALSE,FALSE,TRUE,Gabriel,Food and Fellowship,FALSE,FALSE,FALSE,Peru,Arjun,FALSE,FALSE,FALSE,
2024-04-18,Chloé,Krenko,FALSE,FALSE,FALSE,Simon,Henzie,TRUE,FALSE,FALSE,Gabriel,Ivy Green,FALSE,FALSE,FALSE,Peru,Arjun,FALSE,FALSE,TRUE,
2024-04-30,Gabriel,Grand Larceny,TRUE,FALSE,TRUE,Simon,Dragon Stompy,FALSE,TRUE,FALSE,Chloé,Cadira,FALSE,TRUE,FALSE,Peru,Brudiclad,FALSE,TRUE,FALSE,3 T1 Sol Rings
2024-05-01,Gabriel,Draw Your Weapons,FALSE,FALSE,TRUE,Chloé,Cadira,FALSE,TRUE,FALSE,Simon,Isshin,FALSE,TRUE,FALSE,Peru,Brudiclad,FALSE,FALSE,FALSE,
2024-05-08,Gabriel,Raining Cats & Dogs,TRUE,FALSE,FALSE,Alex,Isshin,FALSE,FALSE,FALSE,Simon,Tasigur,FALSE,FALSE,FALSE,Peru,You sucky sucky,FALSE,FALSE,TRUE,
2024-05-09,Gabriel,Grand Larceny,TRUE,FALSE,TRUE,Alex,Dragon Stompy,FALSE,TRUE,FALSE,Simon,Naya Norin,FALSE,FALSE,FALSE,Peru,Arjun,FALSE,FALSE,FALSE,Simon scooped with 6HP left
2024-06-12,Gabriel,Food and Fellowship,FALSE,FALSE,TRUE,Simon,Tarmogoyf,FALSE,FALSE,FALSE,Chloé,Dragon Stompy,TRUE,TRUE,FALSE,Peru,Freyalise,FALSE,TRUE,FALSE,
2024-06-13,Gabriel,Grand Larceny,TRUE,FALSE,FALSE,Simon,Tarmagoyf Alt,FALSE,FALSE,FALSE,Chloé,Big Booty Oxy,FALSE,FALSE,FALSE,Peru,You sucky sucky,FALSE,FALSE,TRUE,
2024-07-08,Gabriel,Fae Dominion,FALSE,FALSE,TRUE,Simon,Tarmogoyf,FALSE,FALSE,FALSE,Chloé,Cadira,FALSE,TRUE,FALSE,Alex,Big Booty Oxy,TRUE,FALSE,FALSE,
2024-07-09,Gabriel,Food and Fellowship,TRUE,TRUE,TRUE,Simon,Tarmagoyf Alt,FALSE,FALSE,FALSE,Chloé,Sefris,FALSE,FALSE,FALSE,Alex,Krenko,FALSE,TRUE,FALSE,
2023-08-06,Gabriel,Grand Larceny,TRUE,FALSE,FALSE,Simon,Tarmagoyf Alt,FALSE,FALSE,TRUE,Chloé,Krenko,FALSE,FALSE,FALSE,Peru,You sucky sucky,FALSE,FALSE,FALSE,
2023-08-07,Gabriel,Fae Dominion,FALSE,FALSE,FALSE,Simon,Dragon Stompy,TRUE,FALSE,FALSE,Chloé,Krenko,FALSE,TRUE,FALSE,Peru,Freyalise,FALSE,FALSE,TRUE,
2023-08-08,Gabriel,Fae Dominion,FALSE,FALSE,FALSE,Simon,Release the Kraken,FALSE,FALSE,FALSE,Chloé,Cadira,TRUE,FALSE,TRUE,Peru,Freyalise,FALSE,FALSE,FALSE,
2024-09-24,Gabriel,The Bear Necessities,TRUE,FALSE,TRUE,Simon,Tarmagoyf Alt,FALSE,FALSE,FALSE,Chloé,Cadira,FALSE,FALSE,FALSE,Peru,The Gift Horse's mouth,FALSE,FALSE,FALSE,
2024-09-25,Gabriel,The Gift Horse's mouth,FALSE,FALSE,FALSE,Simon,Pheldagriff,FALSE,FALSE,TRUE,Chloé,Krenko,TRUE,TRUE,FALSE,Peru,The Last Samurai,FALSE,FALSE,FALSE,
2024-09-26,Gabriel,The Book's Cover,FALSE,FALSE,FALSE,Simon,Long Live the Queen,FALSE,FALSE,FALSE,Chloé,Sefris,FALSE,FALSE,TRUE,Peru,The Last Samurai,FALSE,FALSE,FALSE,didn't mark down who started
2024-10-08,Gabriel,Shinigami,FALSE,FALSE,FALSE,Peru,You Can Count On Me,TRUE,FALSE,FALSE,Simon,Sefris,FALSE,TRUE,TRUE,Chloé,Krenko,FALSE,FALSE,FALSE,
2024-10-09,Gabriel,Shinigami,FALSE,FALSE,TRUE,Peru,The Last Samurai,FALSE,TRUE,FALSE,Simon,Dragon Stompy,FALSE,FALSE,FALSE,Chloé,Big Booty v2,FALSE,FALSE,FALSE,
2024-11-07,Gabriel,For Valor,FALSE,FALSE,FALSE,Chloé,Krenko,FALSE,FALSE,FALSE,Peru,Arjun,TRUE,FALSE,FALSE,Simon,Lord of Pain,FALSE,FALSE,TRUE,
2024-11-08,Gabriel,The Bear Necessities,FALSE,TRUE,FALSE,Chloé,Helga,FALSE,FALSE,FALSE,Peru,Freyalise,FALSE,FALSE,TRUE,Simon,Lord of Pain,FALSE,FALSE,FALSE,
2024-11-09,Gabriel,The Gift Horse's mouth,FALSE,FALSE,TRUE,Chloé,Helga,TRUE,FALSE,FALSE,Peru,Brudiclad,FALSE,TRUE,FALSE,Simon,Lord of Pain,TRUE,FALSE,FALSE,
2024-12-11,Gabriel,Squishy Tribal,TRUE,FALSE,FALSE,Simon,Elminster,FALSE,FALSE,TRUE,Chloé,Helga,FALSE,FALSE,FALSE,Peru,The Book's Cover,FALSE,FALSE,FALSE,
2024-12-12,Gabriel,Horror Stories,TRUE,FALSE,FALSE,Simon,Lord of Pain,FALSE,FALSE,FALSE,Chloé,Winota,FALSE,TRUE,TRUE,Peru,The Last Samurai,FALSE,FALSE,FALSE,